bcu_id,title,caption_replaced,year_from,theme
CAPO_01057,Semsales,"a city in the past, history, near Semsales.",1898,Communes Fribourgeoises - carte postale
CAPO_01111,Bulle et les Alpes gruyériennes,"a city in the past, history, near Bulle.",1915,Question de la modernité - traditions agricoles/montagnardes
CAPO_01119,Bulle-Place du Marché,"a city in the past, history, near Bulle.",1902,Question de la modernité - traditions agricoles/montagnardes
CAPO_01159,La Tzintre près Charmey,"a city in the past, history, near Charmey.",1899,Question de la modernité - traditions agricoles/montagnardes
CAPO_01172,Château de Corbières,"industry in the village of person, near Château.",1917,Communes Fribourgeoises - carte postale
CAPO_01179,En avion au-dessus de... Crésuz,"a city in the past, history, near Crésuz.",1950,Communes Fribourgeoises - carte postale
CAPO_01204,Souvenir de Grandvillard,"a city in the 19th century, near Grandvillard.",1905,Communes Fribourgeoises - carte postale
CAPO_01247,"Hauteville/Frbg, vue générale et le Gibloux","a view of the village, near Hauteville.",1946,Communes Fribourgeoises - carte postale
CAPO_01260,"Jaunpass (Bruchberg) mit Hotel des Alpes, [commune de Jaun]","a city in the past, history, near Jaunpass.",1947,Question de la modernité - transports
CAPO_01321,Pont-la-Ville,"a city in the past, history, near Pont-la-Ville.",1950,Communes Fribourgeoises - carte postale
CAPO_01326,Riaz - Hôpital de district,"a city in the past, history, near Riaz.",1900,Communes Fribourgeoises - carte postale
CAPO_01345,Sâles (Gruyère) et le Moléson,"a city in the past, history, near Sâles.",1917,Communes Fribourgeoises - carte postale
CAPO_01368,Chartreuse de la Valsainte - la Bibliothèque,photograph of a woman looking at books in a library.,1928,Question religieuse - tradition
CAPO_01451,"Brasserie du Cardinal - Fribourg - Ecuries et cavalerie, [Pérolles]","a group of horses in the streets, near Pérolles.",1911,Question de la modernité - alimentation
CAPO_01466,"Salle de chirurgie No 25, Hôpital des Bourgeois, Fribourg, [Gare, Places]","interior view of a hospital room, near Salle.",1915,Question de la modernité - santé
CAPO_01497,"Fribourg - Ecole ménagère, [Bourg]","photograph of a street scene, near Fribourg - Ecole.",1900,Question de genre - formation
CAPO_01501,"Pensionnat St-Louis, Fribourg, la Cuisine, [Bourg]","photograph of a nun in the kitchen, near Bourg.",1900,Question religieuse - formation
CAPO_01512,"Fribourg - Laitier fribourgeois, [Bourg]","a man with his dog on a street, near Fribourg - Laitier.",1914,Question de la modernité - alimentation
CAPO_01573,"Hôtel & Kurhaus, Schönberg, Fribourg, Suisse","a vintage illustration scanned at high resolution from a book printed, near Suisse.",1900,Question économique - tourisme
CAPO_01613,"Ermitage de la Madeleine, [Düdingen], Guin, Fribourg, grande salle, [Grandfey, Grottes de la Madeleine] : = Einsidelei St. Magdalena Grosser Saal","interior view of the building, near Madeleine.",1922,Question religieuse
JOMU_00257,"Porte de Berne et rue des Forgerons (femmes et enfants), Fribourg","femmes playing in the street, near Fribourg.",1930,Question sociale
JOMU_00259,"Porte de Berne, rue des Forgerons, Fribourg","a city in the past, history, near Fribourg.",1930,Question sociale - pauvreté
JOMU_01106,"Gare de Fribourg, train sur le quai","steam locomotive pulling a passenger train, near Gare.",1945,Question écologique - transports
JOMU_01652,"Brasserie du Grand-Pont, terrasse, Fribourg","an old photograph of the restaurant, near Fribourg.",1930,Question de la modernité - alimentation
JOMU_01687,"Librairie Saint-Paul (intérieur), rue des Epouses, Fribourg","photograph of the interior of the department store, near Fribourg.",1950,Question religieuse - Tradition
JOMU_01742,"Programme des séances du Cinéma Royal Biograph, entre 1918 et 1924",a car is crushed under the weight of a building.,1930,Question économique - environnement
JOMU_01920,"Marché couvert, route du Comptoir, Fribourg","a city in the past, history, near Fribourg.",1950,Question économique
JOMU_01925,"Vitrine du magasin de vêtements Eleganty, boulevard de Pérolles, Fribourg","the interior of the store, near Fribourg.",1958,Question de genre - représentations du féminin
JOMU_02834,"Pont du Gottéron, construction, travaux de coffrage, Fribourg","tourist attraction in the 1950s, near Fribourg.",1959,Question de la modernité - technologie
JOMU_02969,"Pont du Gottéron, construction, fin du gros oeuvre, Fribourg","soldiers with a christmas tree, near Fribourg.",1959,Question de la modernité - technologie
JOMU_03021,"Pont du Gottéron, construction, essais de résistance, Fribourg","tanks pass through a city during a heavy snowfall, near Fribourg.",1960,Question de la modernité - technologie
JOMU_03023,"Pont du Gottéron, construction, essais de résistance, Fribourg","soldiers on the bridge in the snow, near Fribourg.",1960,Question de la modernité - urbanisme tardif
JOMU_03233,"Pont du Gottéron, construction, démontage du tablier de l'ancien pont suspendu, Fribourg","aircraft model on the flight line, near Fribourg.",1960,Question de la modernité - technologie
JOMU_03252,"Pont du Gottéron, construction, démontage du tablier de l'ancien pont suspendu, Fribourg","men standing on a bridge, near Fribourg.",1960,Question de la modernité - technologie
